Test,Animal,Treatment,APOE,Sex,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE.time,NE.distance,NE : average speed,NW.time,NW.distance,NW : average speed,SE.time,SE.distance,SE : average speed,SW.time,SW.distance,SW : average speed,Proportion time SW,Proportion dist. SW,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,SW : latency to first entry
1,191028_3,APOE2/2F,APOE2/2,F,A,Day1,1,MWM_150,10/28/2019,60,10.569,0.176,3.8,0.622,0.165,2,0.235,0.12,41.3,7.024,0.17,13,2.689,0.207,0.2166666667,0.2544233135,,,22,3.138,0.143,
2,191028_4,APOE2/2F,APOE2/2,F,A,Day1,1,MWM_150,10/28/2019,60,12.318,0.205,4.1,0.648,0.158,24.9,4.284,0.172,8,1.643,0.206,19.4,4.356,0.225,0.3233333333,0.3536288358,,,40.1,7.344,0.183,
3,191028_5,APOE2/2F,APOE2/2,F,A,Day1,1,MWM_150,10/28/2019,60,12.18,0.203,19.4,3.472,0.179,6.4,1.395,0.218,14.2,3.151,0.222,20,4.162,0.209,0.3333333333,0.3417077176,,,21.7,3.953,0.182,
4,191028_6,APOE2/2M,APOE2/2,M,B,Day1,1,MWM_150,10/28/2019,60,10.954,0.183,30.7,5.529,0.18,6.5,1.296,0.198,13.4,2.489,0.186,9.4,1.64,0.175,0.1566666667,0.1497169984,,,33.2,5.016,0.151,
5,191028_7,APOE2/2M,APOE2/2,M,B,Day1,1,MWM_150,10/28/2019,60,10.629,0.177,2.9,0.501,0.17,0,0,,16.7,3.187,0.191,40.4,6.941,0.172,0.6733333333,0.6530247436,,,21.1,3.073,0.146,
6,191028_3,APOE2/2F,APOE2/2,F,A,Day1,2,MWM_150,10/28/2019,60,10.409,0.173,15.9,2.641,0.167,1.7,0.198,0.116,27.6,5.163,0.187,14.8,2.407,0.163,0.2466666667,0.2312421943,,,30.7,4.427,0.144,
7,191028_4,APOE2/2F,APOE2/2,F,A,Day1,2,MWM_150,10/28/2019,60,11.623,0.194,16.7,2.467,0.148,8.3,1.861,0.223,21.7,4.581,0.211,13.3,2.714,0.205,0.2216666667,0.2335025381,,,24.2,4.42,0.182,
8,191028_5,APOE2/2F,APOE2/2,F,A,Day1,2,MWM_150,10/28/2019,60,11.568,0.193,14.8,3.129,0.211,11,2.031,0.185,19.9,3.551,0.178,14.3,2.857,0.2,0.2383333333,0.2469744122,,,35.6,6.147,0.173,
9,191028_6,APOE2/2M,APOE2/2,M,B,Day1,2,MWM_150,10/28/2019,60,11.338,0.189,25.7,4.264,0.166,15.7,3.315,0.211,10.3,2.12,0.206,8.1,1.638,0.201,0.135,0.1444699241,,,31.9,6.032,0.189,
10,191028_7,APOE2/2M,APOE2/2,M,B,Day1,2,MWM_150,10/28/2019,60,9.845,0.164,20.4,2.986,0.147,15.2,2.498,0.164,17.1,3.24,0.189,7.3,1.12,0.153,0.1216666667,0.1137633316,,,36.2,5.195,0.143,
11,191028_3,APOE2/2F,APOE2/2,F,A,Day1,3,MWM_150,10/28/2019,60,10.426,0.174,7.7,1.227,0.16,28.3,4.934,0.175,7.8,1.521,0.195,16.3,2.744,0.169,0.2716666667,0.2631881834,,,38.1,6.285,0.165,
